Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District],Total Number Operational Schools [Public School] 1995-96,Total Number Operational Schools [Public School] 1994-95,Total Number Operational Schools [Public School] 1993-94,Total Number Operational Schools [Public School] 1992-93,Total Number Operational Schools [Public School] 1991-92,Locale [District] 1995-96,Locale [District] 1994-95,Locale [District] 1993-94,Locale [District] 1992-93,Locale [District] 1991-92,School District Level Code (SCHLEV) [District Finance] 1995-96,School District Level Code (SCHLEV) [District Finance] 1994-95,School District Level Code (SCHLEV) [District Finance] 1991-92,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Individualized Education Program Students [District] 1995-96,Individualized Education Program Students [District] 1994-95,Individualized Education Program Students [District] 1993-94,Individualized Education Program Students [District] 1992-93,Individualized Education Program Students [District] 1991-92,American Indian/Alaska Native Students [Public School] 1995-96,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1993-94,American Indian/Alaska Native Students [Public School] 1992-93,American Indian/Alaska Native Students [Public School] 1991-92,Asian or Asian/Pacific Islander Students [Public School] 1995-96,Asian or Asian/Pacific Islander Students [Public School] 1994-95,Asian or Asian/Pacific Islander Students [Public School] 1993-94,Asian or Asian/Pacific Islander Students [Public School] 1992-93,Asian or Asian/Pacific Islander Students [Public School] 1991-92,Hispanic Students [Public School] 1995-96,Hispanic Students [Public School] 1994-95,Hispanic Students [Public School] 1993-94,Hispanic Students [Public School] 1992-93,Hispanic Students [Public School] 1991-92,Black or African American Students [Public School] 1995-96,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1993-94,Black or African American Students [Public School] 1992-93,Black or African American Students [Public School] 1991-92,White Students [Public School] 1995-96,White Students [Public School] 1994-95,White Students [Public School] 1993-94,White Students [Public School] 1992-93,White Students [Public School] 1991-92,Total General Revenue (TOTALREV) [District Finance] 1995-96,Total General Revenue (TOTALREV) [District Finance] 1994-95,Total General Revenue (TOTALREV) [District Finance] 1991-92,Total Expenditures (TOTALEXP) [District Finance] 1995-96,Total Expenditures (TOTALEXP) [District Finance] 1994-95,Total Expenditures (TOTALEXP) [District Finance] 1991-92,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1995-96,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1994-95,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1991-92,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1995-96,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1994-95,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1991-92,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 1995-96,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 1995-96
ABBOTT ISD,Texas,4807380,HILL,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,276,276,277,266,227,40,39,49,49,40,1,0,0,0,0,0,0,0,0,0,20,14,12,12,3,6,6,5,2,1,249,256,260,252,223,1721000,1608000,1222000,2454000,1694000,933000,6236,5826,5383,8848,6116,4110,0,5859
ABERNATHY ISD,Texas,4807410,HALE,3,3,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,884,916,921,875,879,156,141,130,117,130,2,1,1,1,1,0,2,2,2,2,443,452,446,418,465,30,33,32,28,33,409,428,444,426,378,5959000,6153000,4845000,5529000,5287000,4534000,6741,6717,5512,6188,5723,5158,25,5852
ABILENE ISD,Texas,4807440,TAYLOR,42,40,40,39,35,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,19649,19717,19547,19591,19166,3481,3460,3152,3158,3045,78,81,74,70,60,306,309,270,270,228,5091,4995,4963,4968,4769,2041,2025,1976,1974,2011,12133,12307,12296,12309,12079,114163000,107530000,87790000,114681000,102137000,106974000,5810,5454,4581,5836,5180,5581,35,5545
ACADEMY ISD,Texas,4807470,BELL,3,3,3,3,3,4-Urban fringe of midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,965,942,913,913,838,148,125,117,121,104,2,0,2,2,1,3,2,5,5,0,102,103,103,111,95,7,6,4,3,3,851,831,799,792,739,5953000,5000000,4132000,5660000,4443000,3889000,6169,5308,4931,5865,4717,4641,0,4456
ADRIAN ISD,Texas,4807500,OLDHAM,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,102,103,108,90,98,14,14,16,11,10,0,0,0,0,0,0,0,0,0,0,23,24,27,26,27,0,0,0,0,0,79,79,81,64,71,1045000,1039000,978000,1001000,958000,853000,10245,10087,9980,9814,9301,8704,0,9706
AGUA DULCE ISD,Texas,4807530,NUECES,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,342,365,396,367,379,28,28,33,34,37,5,5,4,4,4,0,0,0,0,0,231,245,266,240,240,0,1,1,0,0,106,114,127,123,135,2733000,2569000,2330000,3265000,2447000,2070000,7991,7038,6148,9547,6704,5462,0,6781
ALAMO HEIGHTS ISD,Texas,4807590,BEXAR,5,5,5,5,5,1-Large city,1-Large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4054,4018,4061,3891,3782,530,492,473,404,378,9,6,7,2,5,23,25,23,27,20,963,1042,1074,1012,979,95,104,106,96,121,2964,2841,2860,2754,2652,34353000,34679000,20170000,30067000,23902000,25811000,8474,8631,5333,7402,5938,6825,0,5617
ALANREED ISD,Texas,4807620,GRAY,†,†,†,1,1,†,†,†,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,01-Elementary school system only,†,†,†,9,13,†,†,†,1,0,†,†,†,0,0,†,†,†,0,0,†,†,†,0,2,†,†,†,0,0,†,†,†,9,11,†,†,127000,0,0,247000,†,†,9769,†,†,19000,†,†
ALBA-GOLDEN ISD,Texas,4807650,WOOD,3,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,669,640,607,586,584,67,84,87,79,75,8,3,1,1,1,0,0,0,0,0,22,22,17,14,19,0,0,0,0,0,639,615,589,571,564,3967000,3699000,3168000,3536000,3347000,2422000,5930,5780,5425,5286,5230,4147,0,5073
ALBANY ISD,Texas,4807680,SHACKELFORD,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,579,564,575,576,549,89,89,78,74,63,1,1,2,3,1,3,1,2,1,0,74,80,74,71,81,3,2,2,2,2,498,480,495,499,465,3830000,3318000,2711000,4099000,3163000,2548000,6615,5883,4938,7074,5601,4641,0,5442
ALDINE ISD,Texas,4807710,HARRIS,48,45,43,41,39,1-Large city,1-Large city,1-Large city,1-Large city,1-Large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,45139,43818,43539,42696,42404,5248,4802,4548,4312,4072,39,39,42,35,35,1798,1814,1858,1894,1934,18225,16703,15844,14713,13769,15961,15357,15061,14266,13706,9116,9905,10789,11788,12945,266929000,229324000,176567000,263867000,251427000,164498000,5913,5234,4164,5844,5738,3879,2,5147
ALEDO ISD,Texas,4807780,PARKER,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2175,2051,1998,1923,1917,182,185,186,170,187,8,4,5,9,3,18,13,13,10,13,63,64,60,52,60,7,7,11,8,5,2079,1963,1910,1844,1834,11183000,10114000,8283000,13585000,11066000,6970000,5142,4931,4321,6234,5389,3636,0,4098
ALICE ISD,Texas,4807800,JIM WELLS,11,11,11,11,11,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5959,5994,5966,6025,6032,545,537,541,545,547,3,1,4,0,0,21,16,10,9,7,4896,4913,4884,4906,4855,42,46,42,50,45,997,1018,1037,1060,1125,33396000,31447000,28192000,32659000,30607000,27018000,5604,5246,4674,5475,5105,4479,109,4904
ALIEF ISD,Texas,4807830,HARRIS,32,31,29,28,27,1-Large city,1-Large city,1-Large city,1-Large city,1-Large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,36587,34680,33315,32241,31251,4056,3641,3399,3141,2897,40,39,33,27,21,7035,6922,6849,6560,6194,10110,8984,8133,7409,6593,11943,10688,9383,8442,7676,7459,8047,8920,9803,10767,209309000,190108000,152676000,223177000,190362000,144847000,5721,5482,4885,6075,5460,4635,7,4858
ALLAMOORE ISD,Texas,4807860,HUDSPETH,†,†,1,1,1,†,†,6-Small town,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,01-Elementary school system only,†,†,3,8,2,†,†,0,2,0,†,†,0,0,0,†,†,0,0,0,†,†,1,0,0,†,†,0,0,0,†,†,2,8,2,†,†,45000,0,0,41000,†,†,†,†,†,†,†,†
ALLEN ISD,Texas,4807890,COLLIN,9,8,7,7,7,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,7452,6839,6316,5930,5552,875,771,667,606,564,48,49,49,41,40,119,101,86,74,71,387,351,311,263,234,300,275,250,213,192,6598,6063,5620,5339,4996,41227000,37504000,24194000,48244000,38189000,23355000,5532,5484,4358,6474,5576,4207,71,4404
ALLISON ISD                                       ,Texas,4807920,WHEELER,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,66,71,68,74,64,9,11,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,66,71,68,71,64,2333000,2597000,1053000,2140000,1078000,880000,35348,36577,16453,32424,15183,13750,0,14636
ALPINE ISD,Texas,4807950,BREWSTER,3,3,3,3,3,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1285,1268,1231,1153,1149,122,123,116,125,106,2,4,4,5,5,3,3,7,2,0,713,717,691,656,645,8,6,11,6,9,559,538,518,484,488,9485000,6931000,5880000,8240000,6633000,5311000,7381,5466,5117,6410,5229,4622,0,5314
ALTO ISD,Texas,4807980,CHEROKEE,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,667,660,664,666,632,80,84,78,79,82,0,0,0,0,0,0,0,1,0,0,41,45,42,29,15,260,267,262,264,255,366,348,362,373,362,4600000,4153000,3554000,4213000,3788000,3002000,6897,6292,5623,6316,5739,4750,0,5852
ALVARADO ISD,Texas,4800011,JOHNSON,5,6,6,6,5,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2637,2522,2464,2452,2417,315,274,268,262,261,15,11,12,13,9,3,6,5,5,5,304,259,257,247,212,122,118,113,130,133,2193,2128,2081,2057,2050,13760000,12313000,9967000,21964000,14712000,9106000,5218,4882,4124,8326,5829,3767,2,4202
ALVIN ISD,Texas,4808090,BRAZORIA,15,14,13,12,12,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,10790,10571,10305,10119,9879,1353,1086,1135,1001,941,23,27,22,22,22,164,154,135,121,117,3138,2966,2868,2728,2540,295,241,251,268,247,7170,7183,7076,6980,6934,57931000,53106000,45593000,60555000,51485000,43385000,5369,5024,4615,5610,4869,4392,6,4688
ALVORD ISD,Texas,4808100,WISE,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,449,436,420,404,424,56,61,64,64,55,2,0,0,0,0,0,0,2,2,2,46,54,52,52,53,2,2,8,7,8,399,380,358,343,361,2952000,2861000,2601000,3314000,2884000,2243000,6575,6562,6134,7381,6615,5290,0,6078
AMARILLO ISD,Texas,4808130,POTTER,50,49,49,49,48,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,29958,29601,28864,28562,27943,3580,3397,2860,2717,2479,105,99,98,88,71,872,855,867,817,826,8254,7765,7226,6800,6323,2896,2746,2660,2580,2484,17831,18136,18074,18277,18239,147161000,139998000,116939000,143491000,134115000,107762000,4912,4730,4185,4790,4531,3856,19,4576
AMHERST ISD,Texas,4808160,LAMB,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,202,196,219,222,234,23,21,19,26,21,0,0,0,0,0,0,0,0,0,0,72,65,81,87,95,34,33,35,34,33,96,98,103,101,104,1520000,1547000,1297000,1695000,1866000,1159000,7525,7893,5543,8282,9515,4953,0,6861
