ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 1990-91,Locale [Public School] 1989-90,Locale [Public School] 1988-89,Locale [Public School] 1987-88,Locale [Public School] 1986-87,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Free Lunch Eligible [Public School] 1990-91,Free Lunch Eligible [Public School] 1989-90,Free Lunch Eligible [Public School] 1988-89,Free Lunch Eligible [Public School] 1987-88,American Indian/Alaska Native Students [Public School] 1990-91,American Indian/Alaska Native Students [Public School] 1989-90,American Indian/Alaska Native Students [Public School] 1988-89,American Indian/Alaska Native Students [Public School] 1987-88,Asian or Asian/Pacific Islander Students [Public School] 1990-91,Asian or Asian/Pacific Islander Students [Public School] 1989-90,Asian or Asian/Pacific Islander Students [Public School] 1988-89,Asian or Asian/Pacific Islander Students [Public School] 1987-88,Hispanic Students [Public School] 1990-91,Hispanic Students [Public School] 1989-90,Hispanic Students [Public School] 1988-89,Hispanic Students [Public School] 1987-88,Black or African American Students [Public School] 1990-91,Black or African American Students [Public School] 1989-90,Black or African American Students [Public School] 1988-89,Black or African American Students [Public School] 1987-88,White Students [Public School] 1990-91,White Students [Public School] 1989-90,White Students [Public School] 1988-89,White Students [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1990-91,Full-Time Equivalent (FTE) Teachers [Public School] 1989-90,Full-Time Equivalent (FTE) Teachers [Public School] 1988-89,Full-Time Equivalent (FTE) Teachers [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1986-87
6TH GRADE CENTER,Texas,482172005738,4821720,6-Small town,6-Small town,6-Small town,6-Small town,†,817,768,783,767,740,–,†,†,†,1,1,="0",1,7,5,10,10,58,50,38,31,210,210,228,217,541,502,507,508,44.50,45.00,†,37.00,43.10
A & M CONS H S,Texas,480735000001,4807350,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1427,1407,1420,1426,1415,–,†,†,†,="0",1,5,4,59,45,34,33,100,84,91,78,146,166,156,154,1122,1111,1134,1157,9.60,86.00,†,83.00,81.50
A B DUNCAN EL,Texas,481944001801,4819440,6-Small town,6-Small town,6-Small town,6-Small town,†,429,452,465,473,435,–,†,†,†,="0",="0",1,1,="0",="0",="0",†,258,257,295,313,27,31,20,20,144,164,149,139,29.90,30.00,†,25.00,31.30
A B MCBAY EL,Texas,483042003424,4830420,6-Small town,6-Small town,6-Small town,6-Small town,†,686,704,700,690,721,–,†,†,†,="0",="0",="0",†,4,5,4,2,91,86,80,75,211,216,217,214,380,397,399,399,42.00,41.00,†,41.00,38.60
A C BLUNT MIDDLE,Texas,480858000225,4808580,6-Small town,6-Small town,6-Small town,6-Small town,†,516,472,479,319,340,–,†,†,†,="0",="0",="0",†,2,2,2,†,207,182,188,124,25,24,16,14,282,264,273,181,26.90,27.00,†,19.00,16.70
A C JONES H S,Texas,480972000442,4809720,6-Small town,6-Small town,6-Small town,6-Small town,†,1112,1162,1199,1157,1175,–,†,†,†,="0",="0",3,†,4,6,7,6,686,699,687,653,34,33,44,30,388,424,458,468,73.80,74.00,†,74.00,70.30
A E BUTLER INT,Texas,483624004074,4836240,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,413,411,399,393,575,–,†,†,†,3,4,3,2,="0",="0",="0",†,23,26,26,21,2,4,5,1,385,377,365,369,23.10,23.00,†,22.00,34.10
A G ELDER EL,Texas,482493006126,4824930,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,779,726,739,695,679,–,†,†,†,1,="0",1,†,="0",="0",="0",1,46,43,41,35,3,4,7,1,729,679,690,658,33.50,33.00,†,33.00,31.00
A I M                                             ,Texas,481800006686,4818000,2-Midsize city,2-Midsize city,†,†,†,114,="0",†,†,†,–,†,†,†,="0",="0",†,†,="0",="0",†,†,44,="0",†,†,7,="0",†,†,63,="0",†,†,8.80,4.00,†,†,†
A LEAL JR MIDDLE,Texas,482247002251,4822470,1-Large city,1-Large city,1-Large city,1-Large city,†,785,790,770,774,789,–,†,†,†,1,1,1,†,="0",="0",1,†,770,773,753,759,1,="0",="0",1,13,16,15,14,55.70,56.00,†,51.00,54.70
