,STRICT-LABEL
0,0
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,1
76,0
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,0
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,0
133,0
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,1
163,0
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,0
196,1
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,1
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,0
294,1
295,0
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,1
335,0
336,1
337,1
338,0
339,0
340,1
341,0
342,0
343,1
344,1
345,1
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,0
432,1
433,1
434,1
435,1
436,1
437,0
438,0
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,1
449,0
450,0
451,1
452,1
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,1
466,1
467,1
468,1
469,1
470,0
471,0
472,1
473,0
474,0
475,0
476,1
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,1
512,0
513,1
514,1
515,1
516,0
517,0
518,0
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,1
