School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2017-18,Charter School [Public School] 2017-18,Magnet School [Public School] 2017-18,Shared Time School [Public School] 2017-18,Urban-centric Locale [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
1 LT CHARLES W. WHITCOMB SCHOOL,Massachusetts,2.51E+11,MA ,Middlesex County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,–,1308,–,522,–,–,681,627,0,26,648,40,551,0,43,1308,118.8,11.01
10TH STREET SCHOOL,Washington,5.30E+11,WA ,Snohomish County,2-No,2-No,–,22-Suburb: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,178,26,–,9,35,77,101,9,7,20,2,119,–,21,178,7.3,24.38
112 ALC INDEPENDENT STUDY,Minnesota,2.71E+11,MN ,Carver County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,No,37,6,–,0,6,20,17,0,0,7,6,21,0,3,37,–,†
112 ALC MIDDLE SCHOOL,Minnesota,2.71E+11,MN ,Carver County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,No,366,119,–,45,164,198,168,4,6,89,32,206,–,29,366,–,†
112 ALC SEAT-BASED,MINNESOTA,2.71E+11,MN ,Carver County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
12TH STREET ELEMENTARY,Michigan,2.63E+11,MI ,Kalamazoo County,2-No,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,530,99,–,33,132,269,261,0,52,39,33,361,1,44,530,29.26,18.11
18+ PROGRAM,NEBRASKA,3.18E+11,NE ,Adams County,†,†,2-No,32-Town: Distant,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,1,0
1R ELEMENTARY,Nebraska,3.17E+11,NE ,Hall County,†,†,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,182,35,–,13,48,96,86,0,0,12,3,167,0,0,182,12.65,14.39
21ST CENTURY CHARTER SCH OF GARY,Indiana,1.80E+11,IN ,Lake County,1-Yes,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),934,867,716,9,876,481,453,1,–,19,884,3,–,27,934,32.74,28.53
21ST CENTURY CYBER CS,Pennsylvania,4.20E+11,PA ,Chester County,1-Yes,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,No,1039,–,–,–,–,383,656,2,16,70,100,796,0,55,1039,53.43,19.45
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,TEXAS,4.84E+11,TX ,Hidalgo County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),331,322,–,0,322,159,172,1,0,315,0,15,0,0,331,14.09,23.49
21ST CENTURY ESCHOOL,Wisconsin,5.51E+11,WI ,Dane County,1-Yes,2-No,2-No,21-Suburb: Large,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,No,38,2,–,1,3,20,18,0,1,2,2,32,0,1,38,2.76,13.77
21ST CENTURY LEARNING ACADEMY/KIOWA COUNTY,Kansas,2.01E+11,KS ,Kiowa County,2-No,2-No,–,43-Rural: Remote,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,No,184,0,–,0,0,74,110,3,1,40,7,130,–,3,184,2.6,70.77
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,60429013779,CA ,Riverside County,2-No,2-No,–,21-Suburb: Large,†,2-No,6-Not a Title I school,No,65,33,–,5,38,27,38,1,1,34,4,24,0,1,65,3.82,17.02
21ST CENTURY PREPARATORY SCHOOL,Wisconsin,5.50E+11,WI ,Racine County,1-Yes,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,536,350,–,36,386,243,293,–,3,165,255,66,–,47,536,32.5,16.49
21ST CENTURY PRIMARY CENTER,Illinois,1.73E+11,IL ,Cook County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),193,123,–,0,123,105,88,–,–,15,166,3,–,9,193,15.58,12.39
21ST CENTURY SKILLS ACADEMY,Massachusetts,2.51E+11,MA ,Hampden County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,–,8,‡,‡,‡,‡,4,4,0,0,2,0,6,0,0,8,6.17,1.3
270 - HAP - IS,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,No,5,0,–,0,0,3,2,0,0,1,1,3,0,0,5,0.07,71.43
270 HOPKINS ALTERNATIVE,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
270 HOPKINS IS,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,No,1,0,–,0,0,0,1,0,0,0,0,1,0,0,1,0.26,3.85
270 HOPKINS NORTH JR HIGH ALC,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
270 HOPKINS WEST JR HIGH ALC,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
272 CENTRAL MIDDLE SCH. ALT,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,13-City: Small,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
276 MINNETONKA COMPASS,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
276 MINNETONKA COMPASS EXT YR,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
276 MINNETONKA HS IS,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
277 WESTONKA AREA LEARNING ACADEMY,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,No,20,12,–,3,15,10,10,–,–,2,2,15,–,1,20,0.6,33.33
277-GRANDVIEW MIDDLE - ALC,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
283 ST LOUIS PK INDEPENDENT STUDY,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
283-IND STDY 15 AND UNDER - I.S.,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
283-ST. LOUIS PARK ALC,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),NEW YORK,3.60E+11,NY ,Queens County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),444,94,–,25,119,219,225,6,187,39,27,143,4,38,444,24.02,18.48
360 HIGH SCHOOL,RHODE ISLAND,4.40E+11,RI ,Providence County,2-No,†,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,195,155,–,14,169,97,98,2,2,128,38,15,0,10,195,17.5,11.14
3B JUVENILE DETENTION CENTER,Idaho,1.60E+11,ID ,Bonneville County,2-No,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,No,16,6,–,0,6,13,3,3,0,2,1,9,0,1,16,1.25,12.8
3D ACADEMY,Texas,4.82E+11,TX ,Hidalgo County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),142,138,–,0,138,90,52,0,0,141,0,1,0,0,142,13,10.92
3RD H S,Texas,4.85E+11,TX ,Collin County,2-No,†,†,21-Suburb: Large,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
4-J ELEMENTARY SCHOOL,Wyoming,5.60E+11,WY ,Campbell County,2-No,2-No,2-No,43-Rural: Remote,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,42,4,4,0,4,23,19,0,0,0,0,42,0,0,42,4.35,9.66
4092 - WATERSHED HIGH SCHOOL ALC,MINNESOTA,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
4122 - EAGLE RIDGE ACADEMY - IS,MINNESOTA,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
4126 - PRAIRIE SEEDS ACADEMY - IS,Minnesota,2.70E+11,MN ,Hennepin County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,0,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,†
47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),New York,3.60E+11,NY ,New York County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),195,120,–,0,120,95,100,0,5,82,39,51,1,17,195,41.01,4.75
49TH STREET ACADEMY,Washington,5.30E+11,WA ,Clark County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,101,56,–,7,63,77,24,1,7,11,11,68,0,3,101,10.51,9.61
4K CENTER FOR LITERACY,WISCONSIN,5.51E+11,WI ,Outagamie County,2-No,2-No,2-No,22-Suburb: Mid-size,†,2-No,6-Not a Title I school,No,292,26,–,4,30,172,120,2,10,10,6,251,–,13,292,8.49,34.39
4K COMMUNITY SCHOOL,WISCONSIN,5.50E+11,WI ,Racine County,2-No,2-No,2-No,31-Town: Fringe,†,2-No,6-Not a Title I school,No,39,10,–,0,10,24,15,–,–,4,–,33,–,2,39,1,39
4K COMMUNITY-BASED,Wisconsin,5.51E+11,WI ,Sauk County,2-No,2-No,2-No,32-Town: Distant,†,2-No,6-Not a Title I school,No,102,37,–,2,39,52,50,2,1,5,1,91,–,2,102,0.5,204
4K MCFARLAND,Wisconsin,5.51E+11,WI ,Dane County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,No,150,14,–,0,14,74,76,1,2,6,–,132,–,9,150,4.5,33.33
4K PK OFF SITE,Wisconsin,5.51E+11,WI ,Dane County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,744,302,–,0,302,377,367,2,45,132,143,373,2,47,744,0.5,1488
